,0,1,2,3,4
0,14,7,0,7,0
1,13,7,0,7,0
2,13,7,0,7,0
3,13,7,0,7,0
4,13,7,0,7,0
5,12,7,0,7,1
6,12,7,0,7,1
7,12,7,1,7,0
8,12,7,1,7,0
9,12,7,1,7,0
10,11,7,1,7,1
11,11,7,1,7,1
12,11,7,1,7,1
13,11,7,1,7,1
14,11,7,1,7,1
15,11,7,1,7,1
16,11,7,1,7,1
17,11,7,1,7,1
18,11,7,1,7,1
19,11,7,1,7,1
20,11,7,1,7,1
21,10,7,1,7,1
22,10,7,1,7,1
23,10,7,1,7,1
24,10,7,1,7,1
25,10,7,1,7,1
26,10,7,1,7,1
27,10,7,1,7,1
28,10,7,1,7,1
29,10,7,1,7,1
30,10,7,1,7,1
31,10,7,1,7,1
32,10,7,1,7,1
33,10,7,1,7,1
34,10,7,2,7,0
35,9,7,2,7,1
36,9,7,2,7,1
37,9,7,2,7,1
38,9,7,2,7,1
39,9,7,2,7,1
40,9,7,2,7,1
41,9,7,2,7,1
42,9,7,2,7,1
43,9,7,2,7,1
44,8,7,2,7,2
45,8,7,2,7,2
46,8,7,2,7,2
47,8,7,2,7,1
48,8,7,2,7,1
49,8,7,2,7,1
50,8,7,2,7,1
51,8,7,2,7,1
52,8,7,2,7,1
53,8,7,2,7,1
54,7,7,2,7,2
55,7,7,2,7,2
56,7,7,2,7,2
57,7,7,2,7,2
58,7,7,2,7,2
59,7,7,2,7,2
60,7,7,2,7,2
61,7,7,3,7,1
62,7,7,3,7,1
63,7,7,3,7,1
64,6,7,3,7,2
65,6,7,3,7,2
66,6,7,3,7,2
67,6,7,3,7,2
68,6,7,3,7,2
69,6,7,3,7,2
70,6,7,3,7,2
71,6,7,3,7,2
72,6,7,3,7,2
73,6,7,3,7,2
74,6,7,3,7,1
75,6,7,3,7,1
76,6,7,3,7,1
77,6,7,3,7,1
78,6,7,3,7,1
79,6,7,3,7,1
80,6,7,3,7,1
81,6,7,3,7,1
82,5,7,3,7,2
83,5,7,3,7,2
84,5,7,3,7,2
85,5,7,3,7,2
86,5,7,3,7,2
87,5,7,4,7,1
88,5,7,4,7,1
89,5,7,4,7,1
90,5,7,4,7,1
91,5,7,4,7,1
92,5,7,4,7,1
93,5,7,4,7,1
94,5,7,4,7,1
95,5,7,4,7,1
96,5,7,4,7,1
97,5,7,4,7,1
98,4,7,4,7,2
99,4,7,4,7,2
100,4,7,4,7,2
101,4,7,4,7,1
102,4,7,4,7,1
103,4,7,4,7,1
104,4,7,4,7,1
105,4,7,4,7,1
106,4,7,4,7,1
107,4,7,4,7,1
108,4,7,4,7,1
109,4,7,4,7,1
110,4,7,4,7,1
111,4,7,4,7,1
112,4,7,4,7,1
113,4,7,4,7,1
114,3,7,5,7,1
115,3,7,5,7,1
116,3,7,5,7,1
117,3,7,5,7,1
118,3,7,5,7,1
119,3,7,5,7,1
120,3,7,5,7,1
121,3,7,5,7,1
122,3,7,5,7,1
123,3,7,5,7,1
124,3,7,5,7,1
125,3,7,5,7,1
126,3,7,5,7,1
127,2,7,5,7,1
128,2,7,5,7,1
129,2,7,5,7,1
130,2,7,5,7,1
131,2,7,5,7,1
132,2,7,5,7,1
133,2,7,5,7,1
134,2,7,5,7,1
135,2,7,5,7,1
136,2,7,5,7,1
137,2,7,5,7,1
138,2,7,5,7,1
139,2,7,5,7,1
140,2,7,5,7,1
141,1,7,6,7,1
142,1,7,6,7,1
143,1,7,6,7,1
144,1,7,6,7,1
145,1,7,6,7,1
146,1,7,6,7,1
147,1,7,6,7,1
148,1,7,6,7,1
149,1,7,6,7,1
150,1,7,6,7,1
151,1,7,6,7,1
152,1,7,6,7,1
153,1,7,6,7,1
154,0,7,6,7,1
155,0,7,6,7,1
156,0,7,6,7,1
157,0,7,6,7,1
158,0,7,6,7,1
159,0,7,6,7,1
160,0,7,6,7,1
161,0,7,6,7,1
162,0,7,6,7,1
163,0,7,6,7,1
164,0,7,6,7,1
165,0,7,6,7,1
166,0,7,6,7,1
167,-1,7,-1,7,1
168,-1,7,-1,7,1
169,-1,7,-1,7,1
170,-1,7,-1,7,1
171,-1,7,-1,7,1
172,-1,7,-1,7,1
173,-1,7,-1,7,1
174,-1,7,-1,7,1
175,-1,7,-1,7,1
